pert_id,pert_iname,target_organ,mCS_homo,mCS_hetero,OrganScore,efficacy_z,specificity,robustness,composite_score,rank
BRD-K25731886,BRD-K25731886,brain,0.2227269234114934,-0.024808632060185683,0.24753555547167908,5.065917265316731,0.24465657261871698,0.8997775002347013,2.369697127982718,1
BRD-K70549064,staurosporine,brain,0.0104196430519494,-0.21924707314283615,0.22966671619478554,4.69592082322213,0.22678773334182345,0.04536853759242768,1.9600152105691273,2
BRD-K72222507,quinapril,brain,0.16121076838067055,-0.021623905205281093,0.18283467358595165,3.726205394436669,0.17995569073298956,0.8817297350150132,1.8089877854990686,3
BRD-A30437061,camptothecin,brain,-0.0010980883974836,-0.20490045902200613,0.20380237062452253,4.160367523435203,0.20092338777156044,0.0053305637865223715,1.726023194841506,4
BRD-K02130563,panobinostat,brain,0.08535353321370784,-0.09659503024945484,0.18194856346316268,3.707857387179147,0.1790695806102006,0.46910803549200714,1.6775962397023214,5
BRD-A18497530,5-iodotubercidin,brain,0.0032567756707023504,-0.1812558538921153,0.18451262956281764,3.7609495505517554,0.18163364670985555,0.017650692403299723,1.5641651219546489,6
BRD-K32164935,tolazamide,brain,0.1422235643673362,-0.004325516440715849,0.14654908080805207,2.9748672678199517,0.14367009795508998,0.9704841783113619,1.5241931900079164,7
BRD-K11636097,JNJ-7706621,brain,-0.03685079039541095,-0.20555062979939318,0.16869983940398223,3.4335261512085635,0.16582085655102013,0.15202382209887094,1.4687638640783927,8
BRD-A50311610,meclizine,brain,0.1304640139620167,-0.008992984792272016,0.1394569987542887,2.8280169276118663,0.13657801590132662,0.9355142806302011,1.4528344600042051,9
BRD-A56987319,SQ-22536,brain,0.1377799907427948,0.0009927945838647057,0.1367871961589301,2.772735359174739,0.133908213305968,0.9928458978407594,1.4471203770139138,10
BRD-K06543683,bisindolylmaleimide-ix,brain,-0.0311851814947443,-0.19509848248197775,0.16391330098723345,3.334414946686383,0.16103431813427135,0.1378145506967347,1.423420639323855,11
BRD-K17743125,belinostat,brain,0.0685837957703345,-0.08400637815693096,0.15259017392726545,3.099955580823107,0.14971119107430336,0.4494640379535818,1.4197348010376085,12
BRD-K72238567,fludarabine,brain,-0.042006853075813,-0.2036185716899252,0.1616117186141122,3.2867578338741534,0.1587327357611501,0.17101997115638354,1.4136289456249218,13
BRD-K68202742,trichostatin-a,brain,0.08916949956760425,-0.05560564212625796,0.1447751416938622,2.938135662002028,0.14189615884090012,0.6159171972669732,1.402598271633173,14
BRD-K81209159,herniarin,brain,0.102200254526195,-0.03060043580300731,0.1328006903292023,2.6901898199523897,0.1299217074762402,0.7695762288275091,1.3459253088720806,15
BRD-K51805276,temefos,brain,0.1208901327952144,-0.005153134014511045,0.12604326680972544,2.550268999064718,0.12316428395676335,0.9591161492330899,1.3447917295828433,16
BRD-K44494044,BRD-K44494044,brain,0.09922637956239955,-0.03436700835788235,0.13359338792028191,2.706603605079199,0.13071440506731982,0.7427491811745591,1.3446805179042434,17
BRD-A19037878,trichostatin-a,brain,0.0903989312593993,-0.04078613419523614,0.13118506545463543,2.656736306487625,0.12830608260167334,0.6890946837370776,1.3079147524966754,18
BRD-K91370081,anisomycin,brain,0.1330011375167566,0.010414933181140458,0.12258620433561615,2.478686240067427,0.11970722148265406,0.9273795940496985,1.3056005406866764,19
BRD-K83794624,pirarubicin,brain,0.010846553811678351,-0.1371896021309279,0.14803615594260625,3.005658999749842,0.14515717308964415,0.07326962616184526,1.2677916396753839,20
BRD-K53417444,OTS-167,intestine,0.01306339121752205,-0.21697213049139474,0.23003552170891678,5.65684723634104,0.22713583102603102,0.05678858254062777,2.3479162186064135,1
BRD-K72238567,fludarabine,intestine,0.0191699496771392,-0.1914823407214683,0.2106522903986075,5.17410535464948,0.20775259971572174,0.09100280671890403,2.15926876379018,2
BRD-K93060291,TL-HRAS-24,intestine,0.127416669042044,-0.04878957064352918,0.17620623968557317,4.316222008377443,0.1733065490026874,0.7231109931015972,1.995414065982263,3
BRD-K39391626,ethylestrenol,intestine,0.1134491273760326,-0.05404321993448086,0.16749234731051346,4.099201392224722,0.1645926566276277,0.6773391688037887,1.8922601045193137,4
BRD-K16046246,BRD-K16046246,intestine,0.1555552863897014,0.00513953888759312,0.1504157475021083,3.6739064662946603,0.14751605681922253,0.9680167735611522,1.804222435631977,5
BRD-K26818574,BIX-01294,intestine,0.1517980491440976,0.005306038638897045,0.14649201050520055,3.5761852891170145,0.1435923198223148,0.9662259664252097,1.7634196015210635,6
BRD-K56844688,epirubicin,intestine,0.0677283254951168,-0.09222965673833396,0.15995798223345076,3.9115570559205914,0.157058291550565,0.42341322706815177,1.7387642779538515,7
BRD-K99633092,BRD-K99633092,intestine,0.165390299003458,0.020463016898433224,0.14492728210502479,3.5372155260189846,0.14202759142213903,0.889896949709388,1.7244635727470519,8
BRD-A36471396,biperiden,intestine,0.112751593087615,-0.034109593361300546,0.14686118644891555,3.5853796637231437,0.1439614957660298,0.76774262647034,1.7076631021601685,9
BRD-K96402602,farnesylthiotriazole,intestine,0.111277854284407,-0.0345973243457094,0.1458751786301164,3.5608230115226136,0.14297548794723064,0.7628292575413539,1.6960706282556208,10
BRD-K26669427,WR-216174,intestine,0.1149086146703494,-0.025633537400805578,0.14054215207115497,3.4280032956058553,0.13764246138826922,0.8176096131672399,1.6577769406089948,11
BRD-A94377914,merck-ketone,intestine,0.1041729563305475,-0.03740021246498232,0.14157316879552984,3.453680900418602,0.13867347811264408,0.7358241476350591,1.6438216478917518,12
BRD-K39983086,loteprednol,intestine,0.1252590413554982,-0.009767229748105665,0.13502627110360388,3.2906295670033363,0.13212658042071812,0.9276642259240215,1.6341890687047564,13
BRD-K33720394,BRD-K33720394,intestine,0.1541382085305125,0.018342410431890166,0.13579579809862233,3.309794736300474,0.13289610741573657,0.8936552371414322,1.6318832978873403,14
BRD-K16336526,capsaicin,intestine,0.101137427425489,-0.03873139159446894,0.13986881901995793,3.411233848915762,0.13696912833707217,0.7230877336481184,1.6225105981618622,15
BRD-A24643465,homoharringtonine,intestine,0.1592140796804257,0.02401355409409407,0.13520052558633164,3.2949693974236878,0.13230083490344588,0.8689414162792751,1.6183604343242914,16
BRD-K91370081,anisomycin,intestine,0.1530471103565261,0.021309914877247198,0.1317371954792789,3.208714713360332,0.12883750479639314,0.8777800037798681,1.5854711379170112,17
BRD-K88708949,BRD-K88708949,intestine,0.1236421428961654,-0.004124890805238129,0.12776703370140352,3.109837321010786,0.12486734301851778,0.9677155305049211,1.5717097904613462,18
BRD-K62289640,lylamine,intestine,0.0763501313502265,-0.06346377333311587,0.13981390468334237,3.4098662002629005,0.1369142140004566,0.5460839640273244,1.5688459335134946,19
BRD-A38913120,BH3I-1,intestine,0.1116333493889347,-0.015665600921408968,0.12729895031034366,3.098179643641553,0.12439925962745792,0.876938490294606,1.5396731824332406,20
BRD-A76941896,doxorubicin,kidney,-0.0856738578304165,-0.39801009669371695,0.3123362388633004,4.596843155702124,0.31508207538621075,0.17712776496171534,1.9864002143852273,1
BRD-K55055802,BRD-K55055802,kidney,0.0983145375048462,-0.18427059031514473,0.2825851278199909,4.162793738557919,0.2853309643429012,0.3479112231719507,1.855090151677623,2
BRD-A09749088,ST-023431,kidney,0.2147509698756623,-0.03952247990083102,0.25427344977649335,3.7497447154385624,0.2570192862994037,0.8445670201901612,1.8303737781222946,3
BRD-K02130563,panobinostat,kidney,0.157514964332284,-0.1017124642676654,0.2592274285999494,3.822020053920397,0.26197326512285973,0.6076323216344689,1.7896896975953573,4
BRD-K22503835,scriptaid,kidney,0.0952507638877291,-0.15428455485440307,0.24953531874213217,3.680618456226814,0.2522811552650425,0.38171255407732174,1.6624454952934349,5
BRD-K88679075,methandriol,kidney,0.0909852954844247,-0.15370415176378788,0.24468944724821257,3.6099203335775583,0.24743528377112292,0.371839883045489,1.6297506834760072,6
BRD-K24538644,KU-C104502N,kidney,0.2407565893063166,0.025496775292420483,0.21525981401389613,3.180561069194879,0.21800565053680648,0.9042386734857986,1.6088977248847331,7
BRD-K04710043,hexamethylenebisacetamide,kidney,0.1390371456691392,-0.08974933467467165,0.22878648034381083,3.377906359186123,0.23153231686672118,0.6077157417668577,1.6029369612645228,8
BRD-K70578146,dactinomycin,kidney,-0.0174263945023893,-0.2704238590334851,0.2529974645310958,3.7311289181581455,0.2557433010540061,0.060539792069919066,1.5873364952004358,9
BRD-K63399564,BRD-K63399564,kidney,0.1777122682487089,-0.023676841059556947,0.20138910930826584,2.978196482403687,0.2041349458311762,0.8824323657365299,1.5172487864317867,10
BRD-A16478930,amcinonide,kidney,0.1573531104869389,-0.04926449804011503,0.20661760852705394,3.0544768954326402,0.2093634450499643,0.7615667973921924,1.5130698309057034,11
BRD-K61397605,romidepsin,kidney,-0.0221688854445483,-0.26086440938924793,0.23869552394469962,3.522472879514093,0.24144136046760997,0.07832606919879789,1.5049193807055599,12
BRD-K31471398,dihydrexidine,kidney,0.1433561014328609,-0.0654025303926466,0.2087586318255075,3.08571303694793,0.21150446834841785,0.6867074195236892,1.5037487811408041,13
BRD-K25719068,BRD-K25719068,kidney,0.193539297930338,0.0015909118732400761,0.19194838605709794,2.8404624522821234,0.1946942225800083,0.9918469212223663,1.4921473240535619,14
BRD-K38477985,malonoben,kidney,0.15966309568739329,-0.04137570978650286,0.20103880547389613,2.9730857766249947,0.2037846419968065,0.79419043120362,1.4886268326101257,15
BRD-K35133769,BRD-K35133769,kidney,0.1294045320706834,-0.07817076278549713,0.20757529485618054,3.0684489179349006,0.2103211313790909,0.6234100840275857,1.477498931795963,16
BRD-K10573841,tunicamycin,kidney,0.1901178254232867,0.0010268734801498402,0.18909095194313685,2.798774341546115,0.1918367884660472,0.9946277684628262,1.475449103697108,17
