organ,n_homo,n_hetero,mean_homo,mean_hetero,median_homo,median_hetero,std_homo,std_hetero,wilcoxon_stat,p_value,cohens_d,cliffs_delta,significant
blood,2119,162572,-0.023852308205606194,-0.02089047371344464,-0.0072114579658572,-0.004456000871922701,0.09792895188712807,0.10320200092059466,-2.1287739937209724,0.03327296354382727,-0.02944168558073527,-0.02687304180856674,True
brain,3997,160694,-0.002607994872299817,-0.011091189323200263,-0.000497131825427,-0.00177481198891435,0.050493935957935734,0.06866895763973634,3.861472661927847,0.00011270562503683438,0.14075204650916337,0.03569946306108413,True
intestine,20144,144547,-0.002634965468632019,-0.00582451281469651,0.0006432751327301,0.000509301806913,0.05346141134825223,0.060086047372036426,2.315251570481611,0.020599168459442367,0.05608461599095065,0.010053016937310979,True
kidney,17898,146793,-0.01931029270308801,-0.01612034960431406,-0.00376134515228195,-0.0020175717275136,0.09934180659227247,0.10355340889497663,-3.9633524903403625,7.390453550384627e-05,-0.03143746963247092,-0.018116879617019795,True
liver,4339,160352,0.0030691403511491524,-0.013495421428907787,0.0043457218648562,-0.00118373202098925,0.06944583023314738,0.10047713104187249,6.858570147546573,6.95531767594139e-12,0.1917936202875892,0.06092242664202824,True
lung,21033,143658,-0.019381020469062118,-0.025260696707384515,-0.0061363853602825,-0.006274442793384899,0.10564558563104123,0.11828605185934107,1.8457373531133707,0.06493035077023653,0.05242967218800203,0.007867377817236088,False
skin,18533,146158,-0.009030920874710512,-0.004258589559267292,0.0002494818100189,-0.00074652394049485,0.04642340069110214,0.035061388968423556,-1.6148610536584864,0.106340787979734,-0.11601192034266271,-0.007269869690346709,False
stomach,362,164329,-0.001719749413237433,-0.0037549592185165035,-0.0027175811688899,-0.0009247836466911,0.03286237064496068,0.035022785687265426,0.22802579667919898,0.8196261859034217,0.05993003668735507,0.006927048281965276,False
