pert_id,pert_iname,mCS_homo,mCS_hetero,target_organ,OrganScore,efficacy_z,specificity,GSE92742,GSE70138,robustness,composite_score,rank
BRD-K01896723,BRD-K01896723,,-0.17851038903055555,brain,0.17851038903055555,4.609606569597273,0.17325742849751966,-0.17235843209884666,,0.5,2.045819856388165,19
BRD-K81814927,BRD-K81814927,,-0.1784034275784922,brain,0.1784034275784922,4.606760802945876,0.1731504670454563,-0.1819390102085973,,0.5,2.0446494612919874,20
BRD-K53417444,OTS-167,0.01306339121752205,-0.21697213049139474,intestine,0.23003552170891678,5.682475014627472,0.2273781006758064,,-0.1480177944643998,0.5,2.4912034360537305,1
BRD-K72238567,fludarabine,0.0191699496771392,-0.1914823407214683,intestine,0.2106522903986075,5.198062807399913,0.20799486936549713,-0.1481553904833051,,0.5,2.2916235837696144,2
BRD-K93060291,TL-HRAS-24,0.127416669042044,-0.04878957064352918,intestine,0.17620623968557317,4.337211116108451,0.1735488186524628,-0.01240220357151045,,0.5,1.936949092039119,3
BRD-K39391626,ethylestrenol,0.1134491273760326,-0.05404321993448086,intestine,0.16749234731051346,4.119439591259495,0.1648349262774031,-0.0197910507768212,,0.5,1.8472263143870191,4
BRD-K56844688,epirubicin,0.0677283254951168,-0.09222965673833396,intestine,0.15995798223345076,3.9311459905378756,0.1573005612003404,,-0.043050460320001746,0.5,1.7696485645752524,5
BRD-K16046246,BRD-K16046246,0.1555552863897014,0.00513953888759312,intestine,0.1504157475021083,3.6926731108568394,0.14775832646899792,-0.0014919489738634,,0.5,1.671396742283435,6
BRD-A36471396,biperiden,0.112751593087615,-0.034109593361300546,intestine,0.14686118644891555,3.6038399984651814,0.14420376541580518,-0.02106239142568455,,0.5,1.634797129010814,7
BRD-K70549064,staurosporine,-0.0298966461702074,-0.1766297080283304,intestine,0.146733061858123,3.6006379979920746,0.14407564082501262,-0.1640855368881184,,0.5,1.6334778914443338,8
BRD-K96402602,farnesylthiotriazole,0.111277854284407,-0.0345973243457094,intestine,0.1458751786301164,3.5791983782832,0.14321775759700603,-0.0389196263195661,,0.5,1.6246446785923818,9
BRD-K99633092,BRD-K99633092,0.165390299003458,0.020463016898433224,intestine,0.14492728210502479,3.5555092089908364,0.14226986107191442,0.030847253454285,,0.5,1.614884641917909,10
BRD-A94377914,merck-ketone,0.1041729563305475,-0.03740021246498232,intestine,0.14157316879552984,3.4716855469020693,0.13891574776241947,-0.0184336585107862,,0.5,1.5803489430895536,11
BRD-A37735495,BRD-A37735495,0.0558209632647945,-0.08551669967640915,intestine,0.14133766294120365,3.4657999487330744,0.13868024190809328,-0.0364179398033369,,0.5,1.577924052065658,12
BRD-K26669427,WR-216174,0.1149086146703494,-0.025633537400805578,intestine,0.14054215207115497,3.4459190955221426,0.1378847310380446,-0.0027529085287417003,,0.5,1.5697330575202706,13
BRD-K16336526,capsaicin,0.101137427425489,-0.03873139159446894,intestine,0.13986881901995793,3.4290916252047374,0.13721139798684756,0.0242689819951554,,0.5,1.5628000694779491,14
BRD-K62289640,lylamine,0.0763501313502265,-0.06346377333311587,intestine,0.13981390468334237,3.4277192443781086,0.137156483650232,-0.007590584371127037,,0.5,1.5622346428463132,15
BRD-A49172652,lansoprazole,0.0606922870972717,-0.07854340495452199,intestine,0.1392356920517937,3.413268957291746,0.13657827101868333,0.0374175842081295,,0.5,1.5562810642223035,16
